author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 99508733;homeowner;https://www.cian.ru/sale/flat/305536020/;Москва;sale;flat;23;25;1;19.7;6500000.0;Крюково;проспект Георгиевский;27к1;Зеленоград — Крюково;Зелёный парк
Новое Летово;developer;https://www.cian.ru/sale/flat/296321182/;Москва;sale;flat;6;8;1;33.5;10525700.0;;;к2;Филатов Луг;Новое Летово ЖК
МарусяПро;real_estate_agent;https://www.cian.ru/sale/flat/304411870/;Москва;sale;flat;12;27;-1;29.0;12100000.0;Хорошевский;9Ак6;9Ак6;Полежаевская;Зорге 9 ЖК
Татьяна Басова;realtor;https://www.cian.ru/sale/flat/307546345/;Москва;sale;flat;1;9;1;13.3;4400000.0;Можайский; Маршала Неделина;32К1;Рабочий посёлок;
Основа;developer;https://www.cian.ru/sale/flat/302961511/;Москва;sale;flat;12;18;-1;31.62;8932650.0;Перово;Электродная ;;Шоссе Энтузиастов;EvoPark Измайлово
Ай Кью Проекты;real_estate_agent;https://www.cian.ru/sale/flat/298664755/;Москва;sale;flat;7;8;-1;31.5;9990000.0;Южнопортовый;Волгоградский проспект;30С1;Волгоградский проспект;HighWay
Level Group;developer;https://www.cian.ru/sale/flat/306832905/;Москва;sale;flat;13;19;1;24.8;;Академический;Профсоюзная ;2/22;Академическая;Level Академическая
AFI Development;developer;https://www.cian.ru/sale/flat/306368735/;Москва;sale;flat;46;53;1;34.2;22428360.0;Свиблово;проезд Серебрякова;11-13к1;Ботанический сад;Afi Tower
ID 113446236;realtor;https://www.cian.ru/sale/flat/307901453/;Москва;sale;flat;8;8;-1;18.5;10940000.0;Басманный;Садовая-Черногрязская ;13/3С1;Красные ворота;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/306559424/;Москва;sale;flat;1;5;-1;20.0;3584500.0;Выхино-Жулебино; Чугунные Ворота;7К1;Юго-Восточная;
AFI Development;developer;https://www.cian.ru/sale/flat/303123415/;Москва;sale;flat;48;53;1;29.8;18267236.0;Свиблово;проезд Серебрякова;11-13к1;Ботанический сад;Afi Tower
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/307853616/;Москва;sale;flat;3;13;-1;29.1;15600000.0;Донской;4-й Верхний Михайловский проезд;1;Шаболовская;Апартаментный комплекс Level Донской
А.М.О.Н.;real_estate_agent;https://www.cian.ru/sale/flat/306935081/;Москва;sale;flat;6;32;1;21.9;10999999.0;Бутырский; Руставели;16к1;Бутырская;Руставели 14
А101;developer;https://www.cian.ru/sale/flat/306744196/;Москва;sale;flat;3;9;1;24.9;6950170.0;;;6.1.1;Новомосковская;Дзен-кварталы ЖК
;;https://www.cian.ru/sale/flat/307455520/;Москва;sale;flat;5;25;1;22.31;6962951.0;Люблино;Юго-Восточный ао;к27;Перерва;Светлый Мир Станция Л ЖК
А101;developer;https://www.cian.ru/sale/flat/306738016/;Москва;sale;flat;9;12;1;25.3;6970125.0;; Эдварда Грига;5;Бунинская аллея;Скандинавия
;;https://www.cian.ru/sale/flat/307455327/;Москва;sale;flat;3;25;1;23.03;6980393.0;Люблино;Юго-Восточный ао;к8;Братиславская;Светлый Мир Станция Л ЖК
АЙГРИН;developer;https://www.cian.ru/sale/flat/300193525/;Москва;sale;flat;9;14;-1;20.73;6972619.0;Силино;проспект Генерала Алексеева;17с1;Зеленоград — Крюково;Апарт-отель Сигма Силино
ПИК;developer;https://www.cian.ru/sale/flat/302983797/;Москва;sale;flat;14;19;1;21.7;7045295.0;Гольяново;;6/8;Черкизовская;2-й Иртышский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/300864113/;Москва;sale;flat;19;30;1;20.1;7078737.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305377268/;Москва;sale;flat;30;30;1;19.4;7033896.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
Аквилон;developer;https://www.cian.ru/sale/flat/304055404/;Москва;sale;flat;7;23;-1;23.7;7035799.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
ПИК;developer;https://www.cian.ru/sale/flat/306987635/;Москва;sale;flat;17;17;1;25.4;7068820.0;;;1.2;Щербинка;Юнино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021546/;Москва;sale;flat;10;12;1;27.04;7050723.0;;;16;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017918/;Москва;sale;flat;8;9;1;22.28;7064360.0;;;к23;Рассказовка;Новое Внуково ЖК
ГОРАКС;real_estate_agent;https://www.cian.ru/sale/flat/306031585/;Москва;sale;flat;3;16;1;20.61;7079595.0;;;;Коммунарка;Смарт Гарден ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/303230702/;Москва;sale;flat;2;24;1;20.2;7037457.0;Солнцево;Производственная ;;Солнцево;Лучи
ЛСР;developer;https://www.cian.ru/sale/flat/303896620/;Москва;sale;flat;13;24;1;20.6;7043057.0;Солнцево;Производственная ;;Солнцево;Лучи
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/303066451/;Москва;sale;flat;1;14;1;26.8;;;;;Кедровая;Новые Ватутинки, мкр. Заречный
АЙГРИН;developer;https://www.cian.ru/sale/flat/304295914/;Москва;sale;flat;6;14;-1;27.24;7045775.0;Силино;проспект Генерала Алексеева;17с1;Зеленоград — Крюково;Апарт-отель Сигма Силино
А101;developer;https://www.cian.ru/sale/flat/306744909/;Москва;sale;flat;9;10;1;23.8;7007570.0;;;1.1;Толстопальцево;Родные кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743318/;Москва;sale;flat;15;24;1;23.5;7074315.0;;;3.1;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743527/;Москва;sale;flat;4;12;1;24.3;7035382.0;;;3.2;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743648/;Москва;sale;flat;14;23;1;21.5;7084209.0;;;;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306737363/;Москва;sale;flat;12;13;1;20.2;7064381.0;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
Колди;developer;https://www.cian.ru/sale/flat/304302626/;Москва;sale;flat;6;21;-1;23.46;7080706.0;Нижегородский;;;Калитники;Н'айс Лофт ЖК
3SGroup;developer;https://www.cian.ru/sale/flat/299381054/;Москва;sale;flat;2;17;1;24.3;7062426.0;;;;Корниловская;FOREVILLE
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/296583226/;Москва;sale;flat;5;12;1;29.7;7100000.0;; Логинова;7к1;Щербинка;Остафьево
Самолет;developer;https://www.cian.ru/sale/flat/307013762/;Москва;sale;flat;9;9;1;26.57;7120577.0;;;к1;Силикатная;Подольские Кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306987552/;Москва;sale;flat;2;17;1;28.3;7126053.0;; Мостотреста;;Щербинка;Юнино
Самолет;developer;https://www.cian.ru/sale/flat/307021657/;Москва;sale;flat;3;10;1;21.72;7123120.0;;;к9;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307275201/;Москва;sale;flat;14;14;1;23.4;7103411.0;;;к17;Щербинка;Остафьево ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/303896597/;Москва;sale;flat;4;24;1;21.9;7137363.0;Солнцево;Производственная ;;Солнцево;Лучи
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/303069189/;Москва;sale;flat;9;9;1;21.2;;;;;Кедровая;Новые Ватутинки, мкр. Заречный
А101;developer;https://www.cian.ru/sale/flat/306744835/;Москва;sale;flat;7;9;1;28.7;7104610.0;;;3.1;Толстопальцево;Родные кварталы ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207868/;Москва;sale;flat;4;20;1;25.9;7108789.0;;;3;Филатов Луг;Город-парк Первый Московский
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/301168490/;Москва;sale;flat;20;21;1;17.5;7190000.0;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Самолет;developer;https://www.cian.ru/sale/flat/307009372/;Москва;sale;flat;9;13;1;22.94;7244852.0;Молжаниновский;Северный ао;к5;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009634/;Москва;sale;flat;6;7;1;22.27;7171104.0;Молжаниновский;Северный ао;к6;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021650/;Москва;sale;flat;12;13;1;25.42;7237157.0;;;к9;Щербинка;Алхимово ЖК
Аквилон;developer;https://www.cian.ru/sale/flat/306728120/;Москва;sale;flat;2;23;-1;27.8;7224998.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
ФСК;developer;https://www.cian.ru/sale/flat/307015484/;Москва;sale;flat;3;15;-1;28.79;7192108.0;;;к2;Солнцево;Движение. Говорово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307011204/;Москва;sale;flat;8;8;1;29.9;7242041.0;; Золотошвейная;6;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307021599/;Москва;sale;flat;4;15;1;23.24;7177691.0;;;к10;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307326917/;Москва;sale;flat;2;5;1;22.6;7206389.0;;;3;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017358/;Москва;sale;flat;12;14;1;27.24;7222501.0;;;к17;Щербинка;Остафьево ЖК
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/303066833/;Москва;sale;flat;6;9;1;22.6;;;;;Кедровая;Новые Ватутинки, мкр. Заречный
А101;developer;https://www.cian.ru/sale/flat/306746676/;Москва;sale;flat;6;9;1;26.3;7162116.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306747896/;Москва;sale;flat;2;9;1;31.7;7200059.0;;;к2.3;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306747852/;Москва;sale;flat;8;16;1;20.7;7220431.0;;;к1.2;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306744100/;Москва;sale;flat;14;18;1;21.7;7202625.0;;;2.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306736976/;Москва;sale;flat;6;12;1;22.8;7190844.0;;;25.5;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306738304/;Москва;sale;flat;6;13;1;22.8;7190844.0;;;25.4;Бунинская аллея;Скандинавия ЖК
;;https://www.cian.ru/sale/flat/307455455/;Москва;sale;flat;3;25;1;24.83;7235462.0;Люблино;Юго-Восточный ао;к8;Братиславская;Светлый Мир Станция Л ЖК
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/297843844/;Москва;sale;flat;2;14;1;25.7;7247400.0;; 3-я Нововатутинская;15к3;Кедровая;Новые Ватутинки, мкр. Центральный
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/306071093/;Москва;sale;flat;2;14;1;25.7;7219130.0;; 3-я Нововатутинская;15к1;Кедровая;Новые Ватутинки, мкр. Центральный
