author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Апрелевка С2;developer;https://www.cian.ru/sale/flat/294217857/;Москва;sale;flat;3;3;2;63.1;9654300.0;ТАО (Троицкий); Генерала Донскова;23к3;;Борисоглебское
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/300020395/;Москва;sale;flat;8;12;2;38.1;9800000.0;Новогиреево;Фрязевская ;11К1;Новогиреево;
А101;developer;https://www.cian.ru/sale/flat/306746101/;Москва;sale;flat;9;19;2;49.6;9787365.0;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
Основа;developer;https://www.cian.ru/sale/flat/287742384/;Москва;sale;flat;3;20;2;35.63;9762620.0;Северный;Долгопрудненское шоссе;3А;Новодачная;ФизтехСити
Самолет;developer;https://www.cian.ru/sale/flat/307019577/;Москва;sale;flat;16;17;2;53.11;9751208.0;;;к4;Филатов Луг;Квартал Марьино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306969548/;Москва;sale;flat;6;17;2;50.6;10129715.0;Южное Бутово;;;Щербинка;Никольские Луга ЖК
Основа;developer;https://www.cian.ru/sale/flat/303537251/;Москва;sale;flat;12;20;2;34.81;10094900.0;Северный;Долгопрудненское шоссе;3А;Новодачная;ФизтехСити
А101;developer;https://www.cian.ru/sale/flat/306739338/;Москва;sale;flat;4;14;2;40.4;10073502.0;; Эдварда Грига;5;Бунинская аллея;Скандинавия
Самолет;developer;https://www.cian.ru/sale/flat/307731504/;Москва;sale;flat;5;12;2;53.9;10117084.0;;;к3;Силикатная;Подольские Кварталы ЖК
А101;representative_developer;https://www.cian.ru/sale/flat/306746845/;Москва;sale;flat;4;20;2;36.2;10066568.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
;;https://www.cian.ru/sale/flat/307455470/;Москва;sale;flat;7;25;2;38.17;10101691.0;Люблино;Юго-Восточный ао;к8;Братиславская;Светлый Мир Станция Л ЖК
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/303068012/;Москва;sale;flat;2;11;2;46.6;;;;;Кедровая;Новые Ватутинки, мкр. Заречный
А101;developer;https://www.cian.ru/sale/flat/306745898/;Москва;sale;flat;13;17;2;51.6;10138641.0;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306746705/;Москва;sale;flat;4;9;2;46.0;10143497.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306745892/;Москва;sale;flat;9;17;2;54.0;10056020.0;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743570/;Москва;sale;flat;9;12;2;41.2;10138191.0;;;3.2;Новомосковская;Дзен-кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306969715/;Москва;sale;flat;10;11;2;47.9;10098922.0;Южное Бутово;;;Щербинка;Никольские Луга ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306822884/;Москва;sale;flat;2;9;2;44.0;10300000.0;Чертаново Центральное; Красного Маяка;9;Пражская;
А101;developer;https://www.cian.ru/sale/flat/306737057/;Москва;sale;flat;2;17;2;39.9;10304231.0;;;25.5;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306737059/;Москва;sale;flat;3;17;2;38.2;10317576.0;;;25.5;Бунинская аллея;Скандинавия ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307016918/;Москва;sale;flat;8;14;2;53.04;10281984.0;;;к20;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019843/;Москва;sale;flat;13;14;2;52.45;10299344.0;;;10;Рассказовка;Квартал Западный ЖК
А101;developer;https://www.cian.ru/sale/flat/306743980/;Москва;sale;flat;2;6;2;42.6;10264385.0;;;2.4;Новомосковская;Дзен-кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306969536/;Москва;sale;flat;6;11;2;54.0;10427832.0;Южное Бутово;;;Щербинка;Никольские Луга ЖК
ПИК;developer;https://www.cian.ru/sale/flat/304453374/;Москва;sale;flat;6;9;2;51.9;10435325.0;;;4.3;Филатов Луг;Середневский Лес ЖК
А101;developer;https://www.cian.ru/sale/flat/306738334/;Москва;sale;flat;2;9;2;40.4;10389179.0;;;25.4;Бунинская аллея;Скандинавия ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017482/;Москва;sale;flat;9;14;2;54.97;10403239.0;;;к22;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019847/;Москва;sale;flat;11;14;2;52.92;10379147.0;;;10;Рассказовка;Квартал Западный ЖК
А101;developer;https://www.cian.ru/sale/flat/306747052/;Москва;sale;flat;13;17;2;36.0;10357535.0;;;к3.4;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306744028/;Москва;sale;flat;2;8;2;41.9;10396911.0;;;4.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743718/;Москва;sale;flat;14;23;2;42.0;10412161.0;;;;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306745276/;Москва;sale;flat;2;9;2;54.6;10389585.0;;;1.2;Толстопальцево;Родные кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306741764/;Москва;sale;flat;12;15;2;48.5;10497590.0;;;;Новомосковская;Деснаречье ЖК
А101;developer;https://www.cian.ru/sale/flat/306743721/;Москва;sale;flat;9;23;2;49.6;10540709.0;;;;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306747009/;Москва;sale;flat;16;17;2;49.7;10460335.0;;;к3.4;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743128/;Москва;sale;flat;8;16;2;35.9;10538973.0;;;3.3;Новомосковская;Дзен-кварталы ЖК
Ташир;developer;https://www.cian.ru/sale/flat/304472947/;Москва;sale;flat;1;19;2;39.9;10693200.0;Можайский;;;Молодёжная;Стеллар Сити ЖК
А101;developer;https://www.cian.ru/sale/flat/306748189/;Москва;sale;flat;2;18;2;44.4;10676158.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307327848/;Москва;sale;flat;7;9;2;57.8;10839234.0;;;4.3;Филатов Луг;Середневский Лес ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307016709/;Москва;sale;flat;11;12;2;57.4;10837386.0;;;к23;Щербинка;Остафьево ЖК
А101;developer;https://www.cian.ru/sale/flat/306741775/;Москва;sale;flat;13;15;2;52.0;10803237.0;;;;Новомосковская;Деснаречье ЖК
А101;developer;https://www.cian.ru/sale/flat/306746715/;Москва;sale;flat;8;9;2;50.2;10885985.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306745291/;Москва;sale;flat;7;9;2;55.7;10885565.0;;;1.2;Толстопальцево;Родные кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306746519/;Москва;sale;flat;2;8;2;55.3;10809845.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743864/;Москва;sale;flat;4;11;2;44.8;10874483.0;;;;Новомосковская;Дзен-кварталы ЖК
А101;representative_developer;https://www.cian.ru/sale/flat/306747408/;Москва;sale;flat;12;17;2;47.1;10775397.0;;;9.1;Улица Горчакова;Бунинские Кварталы ЖК
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/306855346/;Москва;sale;flat;12;17;2;36.6;10990000.0;;;к27.1;Потапово;Скандинавия ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307465726/;Москва;sale;flat;8;9;2;62.9;10985610.0;;;4.3;Филатов Луг;Середневский Лес ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307321677/;Москва;sale;flat;4;14;2;53.95;10995981.0;;;к20;Щербинка;Остафьево ЖК
А101;developer;https://www.cian.ru/sale/flat/307282081/;Москва;sale;flat;4;12;2;54.1;10989588.0;;;;Новомосковская;Деснаречье ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307011506/;Москва;sale;flat;1;13;2;51.79;11065246.0;;;к11;Филатов Луг;Цветочные Поляны ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307880172/;Москва;sale;flat;12;16;2;57.5;11001648.0;;;к2;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307011368/;Москва;sale;flat;16;16;2;56.7;11084865.0;;;к2;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307010603/;Москва;sale;flat;2;16;2;43.3;11004722.0;;;к2.2;Коммунарка;Ольховый Квартал ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019430/;Москва;sale;flat;16;17;2;51.71;11004789.0;;;к1;Филатов Луг;Квартал Марьино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019429/;Москва;sale;flat;13;17;2;53.76;11029119.0;;;к1;Филатов Луг;Квартал Марьино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307731595/;Москва;sale;flat;8;11;2;49.7;11000597.0;Крюково;Зеленоград;22-й мкр;Зеленоград — Крюково;Зелёный парк
Plus Development;developer;https://www.cian.ru/sale/flat/302453377/;Москва;sale;flat;10;23;2;50.4;11032812.0;;;;Филатов Луг;Детали ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019712/;Москва;sale;flat;15;17;2;53.51;11269835.0;;;к2;Филатов Луг;Квартал Марьино ЖК
А101;representative_developer;https://www.cian.ru/sale/flat/306748219/;Москва;sale;flat;6;18;2;50.3;11296250.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307880176/;Москва;sale;flat;16;16;2;56.7;11320722.0;;;к1;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307881236/;Москва;sale;flat;14;16;2;51.94;11413919.0;;;13;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019718/;Москва;sale;flat;15;17;2;57.16;11320270.0;;;к2;Филатов Луг;Квартал Марьино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019719/;Москва;sale;flat;11;17;2;51.61;11312943.0;;;к2;Филатов Луг;Квартал Марьино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306979953/;Москва;sale;flat;15;24;2;46.8;11419165.0;Тимирязевский;к3.6;к3.6;Окружная;Большая Академическая 85 ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/303784727/;Москва;sale;flat;16;23;2;45.5;11424436.0;;;;Филатов Луг;Детали ЖК
Ташир;developer;https://www.cian.ru/sale/flat/304066763/;Москва;sale;flat;10;19;2;39.1;11368325.0;Можайский;;;Молодёжная;Стеллар Сити ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306980043/;Москва;sale;flat;7;24;2;48.8;11427772.0;Тимирязевский;к3.6;к3.6;Окружная;Большая Академическая 85 ЖК
А101;developer;https://www.cian.ru/sale/flat/306742778/;Москва;sale;flat;12;12;2;39.3;11643332.0;;;к11;Прокшино;Прокшино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307511521/;Москва;sale;flat;4;14;2;56.5;11747932.0;; Усадебный Парк;7к1;Филатов Луг;Середневский лес
ПИК;developer;https://www.cian.ru/sale/flat/305035019/;Москва;sale;flat;2;9;2;63.35;11725198.0;;;к4.2;Филатов Луг;Середневский Лес ЖК
Ташир;developer;https://www.cian.ru/sale/flat/304068493/;Москва;sale;flat;15;19;2;40.5;11765250.0;Можайский;;;Молодёжная;Стеллар Сити ЖК
А101;developer;https://www.cian.ru/sale/flat/306739034/;Москва;sale;flat;18;18;2;40.1;11765270.0;;;37.2.1;Бунинская аллея;Скандинавия ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307010646/;Москва;sale;flat;2;16;2;42.9;11764869.0;;;к2.1;Коммунарка;Ольховый Квартал ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307903231/;Москва;sale;flat;13;16;2;41.2;11789173.0;;;к2.2;Коммунарка;Ольховый Квартал ЖК
А101;developer;https://www.cian.ru/sale/flat/306743053/;Москва;sale;flat;13;13;2;40.7;11782528.0;;;к11.2.1;Прокшино;Прокшино ЖК
Ташир;developer;https://www.cian.ru/sale/flat/304068588/;Москва;sale;flat;1;19;2;45.4;11701850.0;Можайский;;;Молодёжная;Стеллар Сити ЖК
Ташир;developer;https://www.cian.ru/sale/flat/304068853/;Москва;sale;flat;1;19;2;46.2;11723250.0;Можайский;;;Молодёжная;Стеллар Сити ЖК
А101;developer;https://www.cian.ru/sale/flat/306748001/;Москва;sale;flat;7;9;2;55.6;11658319.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743047/;Москва;sale;flat;7;13;2;41.5;11765499.0;;;к11.2.1;Прокшино;Прокшино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/303284326/;Москва;sale;flat;19;25;2;48.6;11774078.0;Крюково;Зеленоград;6.2;Зеленоград — Крюково;Зелёный парк
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207500/;Москва;sale;flat;8;22;2;56.4;11658792.0;;;к4;Рассказовка;Город-парк Первый Московский
А101;developer;https://www.cian.ru/sale/flat/306743973/;Москва;sale;flat;9;10;2;40.1;11686423.0;;;2.4;Новомосковская;Дзен-кварталы ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305291982/;Москва;sale;flat;1;9;2;44.5;11800000.0;Бабушкинский;Ленская ;3;Бабушкинская;
А101;developer;https://www.cian.ru/sale/flat/306738050/;Москва;sale;flat;6;12;2;50.0;11861595.0;; Эдварда Грига;5;Бунинская аллея;Скандинавия
Самолет;developer;https://www.cian.ru/sale/flat/307010811/;Москва;sale;flat;14;14;2;52.6;11879826.0;;проспект Куприна;30к9;Летово;Эко Бунино
Самолет;developer;https://www.cian.ru/sale/flat/307020047/;Москва;sale;flat;1;7;2;57.26;11831549.0;;;к2;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017747/;Москва;sale;flat;6;9;2;58.11;11862750.0;;;к30;Рассказовка;Новое Внуково ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/303401214/;Москва;sale;flat;4;23;2;51.1;11815853.0;;;;Филатов Луг;Детали ЖК
А101;developer;https://www.cian.ru/sale/flat/306741022/;Москва;sale;flat;23;30;2;40.4;11893304.0;Южное Бутово;к2.4;к2.4;Бунинская аллея;Южные Сады ЖК
Старыгин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/305792818/;Москва;sale;flat;14;17;2;53.6;11950000.0;Некрасовка;проспект Защитников Москвы;1;Некрасовка;
МЦН;real_estate_agent;https://www.cian.ru/sale/flat/307153256/;Москва;sale;flat;6;9;2;46.0;11999000.0;Левобережный;Ленинградское шоссе;112к4;Беломорская;
Самолет;developer;https://www.cian.ru/sale/flat/307009560/;Москва;sale;flat;1;15;2;53.0;12112488.0;Молжаниновский;Северный ао;к6;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307019709/;Москва;sale;flat;17;17;2;50.92;12014590.0;;;к2;Филатов Луг;Квартал Марьино ЖК
Plus Development;developer;https://www.cian.ru/sale/flat/303377465/;Москва;sale;flat;10;23;2;46.5;;;;;Филатов Луг;Детали ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207678/;Москва;sale;flat;4;19;2;51.5;12112392.0;;;;Филатов Луг;Первый Московский ЖК
А101;developer;https://www.cian.ru/sale/flat/306747874/;Москва;sale;flat;11;19;2;50.2;12007940.0;;;к2.3;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306742380/;Москва;sale;flat;15;15;2;39.6;12082752.0;;;к10.1.1;Филатов Луг;Прокшино ЖК
А101;developer;https://www.cian.ru/sale/flat/306744047/;Москва;sale;flat;8;12;2;44.4;12100465.0;;;4.3;Новомосковская;Дзен-кварталы ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/304079879/;Москва;sale;flat;6;22;2;49.9;12103653.0;;;к6;Филатов Луг;Филатов Луг ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307597062/;Москва;sale;flat;8;12;2;55.2;12115295.0;Крюково;Зеленоград;22-й мкр;Зеленоград — Крюково;Зелёный парк
ПИК;developer;https://www.cian.ru/sale/flat/306987410/;Москва;sale;flat;17;17;2;50.95;12149740.0;;;;Щербинка;Юнино ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/304080125/;Москва;sale;flat;1;22;2;50.7;12082754.0;;;к5;Филатов Луг;Филатов Луг ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/304079896/;Москва;sale;flat;13;22;2;48.6;12097415.0;;;к6;Филатов Луг;Филатов Луг ЖК
А101;developer;https://www.cian.ru/sale/flat/306747880/;Москва;sale;flat;18;19;2;59.0;12099047.0;;;к2.3;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743880/;Москва;sale;flat;3;11;2;51.5;12124491.0;;;;Новомосковская;Дзен-кварталы ЖК
ВЫБОР;developer;https://www.cian.ru/sale/flat/300605797/;Москва;sale;flat;2;17;2;55.6;12076320.0;;;;;Академик
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065660/;Москва;sale;flat;5;17;1;55.0;65351000.0;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/307319145/;Москва;sale;flat;4;9;1;32.7;10000000.0;Преображенское;2-я Пугачевская ;8К5;Преображенская площадь;
ID 109135729;realtor;https://www.cian.ru/sale/flat/306215989/;Москва;sale;flat;7;28;1;56.0;33000000.0;Раменки;Винницкая ;8к1;Раменки;Настоящее
Юлия Шмелева;realtor;https://www.cian.ru/sale/flat/307898171/;Москва;sale;flat;2;16;1;34.7;15500000.0;Даниловский;Духовской переулок;10;Тульская;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/306266225/;Москва;sale;flat;21;25;1;38.5;11990000.0;Братеево;Ключевая ;20;Алма-Атинская;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/305593414/;Москва;sale;flat;10;22;1;34.7;11700000.0;Бескудниковский;Бескудниковский бульвар;11К2;Верхние Лихоборы;
Донстрой;developer;https://www.cian.ru/sale/flat/306642875/;Москва;sale;flat;5;27;1;28.8;16418880.0;Лефортово;бульвар Сенкевича;;Римская;Символ
Эксклюзив Хоум;real_estate_agent;https://www.cian.ru/sale/flat/307611742/;Москва;sale;flat;16;17;1;38.0;18299000.0;Пресненский; 1905 года;21;Улица 1905 года;
СИТИ21;developer;https://www.cian.ru/sale/flat/305970238/;Москва;sale;flat;12;15;1;58.5;23709458.0;Останкинский;проспект Мира;95;Алексеевская;Hill8
Regions Development;developer;https://www.cian.ru/sale/flat/307149980/;Москва;sale;flat;6;6;1;40.3;29175281.0;Нагатинский затон;проспект Андропова;9/1к3;Технопарк;Dream Towers
PIONEER;developer;https://www.cian.ru/sale/flat/307230924/;Москва;sale;flat;2;22;1;37.8;19240842.0;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Владис;real_estate_agent;https://www.cian.ru/sale/flat/307674494/;Москва;sale;flat;11;12;1;38.0;12900000.0;Сокольники;3-я Рыбинская ;21К1;Сокольники;
Донстрой;developer;https://www.cian.ru/sale/flat/307565741/;Москва;sale;flat;2;19;1;54.0;59832000.0;Замоскворечье;Большая Татарская ;35С7-9;Новокузнецкая;Татарская 35
Century21 Феникс;real_estate_agent;https://www.cian.ru/sale/flat/307045302/;Москва;sale;flat;5;5;1;36.6;11500000.0;Останкинский;1-я Останкинская ;13/1;Телецентр;
PIONEER;developer;https://www.cian.ru/sale/flat/306887098/;Москва;sale;flat;2;13;1;41.29;18026489.0;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
Regions Development;developer;https://www.cian.ru/sale/flat/307253967/;Москва;sale;flat;7;16;1;37.8;18028322.0;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
VOS HOD;developer;https://www.cian.ru/sale/flat/300560437/;Москва;sale;flat;8;17;1;69.3;41254290.0;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
ID 99674200;real_estate_agent;https://www.cian.ru/sale/flat/307717406/;Москва;sale;flat;6;26;1;35.7;16990000.0;Даниловский;Автозаводская ;23Бк2;ЗИЛ;Парк Легенд
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/302223488/;Москва;sale;flat;54;57;1;36.2;18422180.0;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Forma;developer;https://www.cian.ru/sale/flat/300443471/;Москва;sale;flat;18;29;1;42.3;18485903.0;Аэропорт;Часовая ;28к8;Сокол;SOUL
ЛИДЕР Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/306032914/;Москва;sale;flat;5;14;1;45.0;27500000.0;Раменки;проспект Генерала Дорохова;39к2А;Минская;Собрание клубных домов West Garden
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/303637669/;Москва;sale;flat;7;41;1;41.0;31000000.0;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
ПИК;developer;https://www.cian.ru/sale/flat/306969100/;Москва;sale;flat;31;33;1;35.8;16988388.0;Кунцево; Академика Павлова;56к1;Молодёжная;Академика Павлова
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/307825788/;Москва;sale;flat;8;24;1;34.3;9990000.0;; Летчика Ульянина;6;Пыхтино;Солнцево парк
Prime Life Development;developer;https://www.cian.ru/sale/flat/306733128/;Москва;sale;flat;12;25;1;40.2;22316901.0;Нагатино-Садовники;;;Нагатинская;Первый Нагатинский
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/307953141/;Москва;sale;flat;10;22;1;35.0;8900000.0;Марьино;Белореченская ;28К2;Братиславская;
ID 121415364;homeowner;https://www.cian.ru/sale/flat/306937181/;Москва;sale;flat;8;15;1;40.2;12700000.0;Рязанский; Михайлова;30Ак1;Плющево;Михайловский парк
Level Group;developer;https://www.cian.ru/sale/flat/307681591/;Москва;sale;flat;3;12;1;30.3;;Очаково-Матвеевское;;к9;Аминьевская;Левел Мичуринский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305377458/;Москва;sale;flat;23;30;1;34.3;9580742.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
Группа Аквилон;developer;https://www.cian.ru/sale/flat/303975293/;Москва;sale;flat;6;23;1;34.8;18154126.0;Хорошевский;;;Зорге;Инди Тауэрс ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307327071/;Москва;sale;flat;6;21;1;35.7;15480305.0;Очаково-Матвеевское;Очаковское шоссе;9А;Аминьевская;Vangarden
Премьер;real_estate_agent;https://www.cian.ru/sale/flat/305738054/;Москва;sale;flat;6;20;1;40.0;11000000.0;Можайский; Горбунова;11/3;Сетунь;
ПИК;developer;https://www.cian.ru/sale/flat/307880263/;Москва;sale;flat;25;33;1;42.4;12604545.0;Южное Медведково;;2.2;Медведково;Полярная 25 ЖК
Flip Living;real_estate_agent;https://www.cian.ru/sale/flat/305453243/;Москва;sale;flat;6;26;1;34.0;19990000.0;Лефортово;проезд Невельского;1к4;Авиамоторная;Символ
1-й ДСК;developer;https://www.cian.ru/sale/flat/298014424/;Москва;sale;flat;2;12;1;41.2;13881928.0;Гольяново;Монтажная ;вл8/24;Щёлковская;1-й Измайловский
ID 39757158;unknown;https://www.cian.ru/sale/flat/307064853/;Москва;sale;flat;7;9;1;25.0;7700000.0;Отрадное;Северный бульвар;12В;Отрадное;
ПИК;developer;https://www.cian.ru/sale/flat/306256308/;Москва;sale;flat;2;32;1;33.4;13234549.0;Очаково-Матвеевское;;4.5;Озёрная;Мичуринский Парк ЖК
Самолет плюс Щелково;real_estate_agent;https://www.cian.ru/sale/flat/307856760/;Москва;sale;flat;9;16;1;41.0;10500000.0;Ивановское; Сталеваров;20;Новогиреево;
ПИК;developer;https://www.cian.ru/sale/flat/305381078/;Москва;sale;flat;2;12;1;31.4;10258536.0;Москворечье-Сабурово;;1.4;Каширская;Москворечье ЖК
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/307448000/;Москва;sale;flat;4;8;1;43.1;15300000.0;Раменки;Мосфильмовская ;17/25;Ломоносовский проспект;
ПИК;developer;https://www.cian.ru/sale/flat/306985844/;Москва;sale;flat;18;30;1;30.0;15122715.0;Кунцево; Ивана Франко;20к3;Кунцевская;Кутузовский квартал
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/300648657/;Москва;sale;flat;12;12;1;38.2;9490000.0;Алтуфьевский;Костромская ;4;Бибирево;
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/305393056/;Москва;sale;flat;19;22;1;43.0;17900000.0;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Основа;developer;https://www.cian.ru/sale/flat/304955136/;Москва;sale;flat;3;20;1;36.75;12862500.0;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/307250792/;Москва;sale;flat;5;7;1;73.16;45849372.0;;;В19 кв-л;Серебряный Бор;Сберсити ЖК
MR Group;developer;https://www.cian.ru/sale/flat/307821680/;Москва;sale;flat;22;28;1;44.2;19251048.0;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/307250897/;Москва;sale;flat;5;9;1;43.6;23465520.0;;;В17 кв-л;Серебряный Бор;Сберсити ЖК
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/301173970/;Москва;sale;flat;3;46;1;47.7;42080922.0;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/303823559/;Москва;sale;flat;2;46;1;44.7;42539739.0;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
MR Group;developer;https://www.cian.ru/sale/flat/305346550/;Москва;sale;flat;10;14;1;41.3;17391734.0;Покровское-Стрешнево;;;Тушинская;Ситизен ЖК
Sminex;developer;https://www.cian.ru/sale/flat/304094659/;Москва;sale;flat;2;14;1;52.1;64610000.0;Пресненский;Электрический переулок;1с22;Белорусская;Элитный квартал Тишинский бульвар
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196014/;Москва;sale;flat;15;27;1;38.2;17031164.0;Щукино; Берзарина;;Щукинская;Октябрьское поле
Sminex;developer;https://www.cian.ru/sale/flat/304094682/;Москва;sale;flat;5;14;1;60.3;78800000.0;Пресненский;Электрический переулок;1с22;Белорусская;Элитный квартал Тишинский бульвар
КОРТРОС;developer;https://www.cian.ru/sale/flat/307731136/;Москва;sale;flat;29;49;1;41.22;19785600.0;Марьина роща;;;Марьина Роща;Тэйт ЖК
ФСК;developer;https://www.cian.ru/sale/flat/303479437/;Москва;sale;flat;24;26;1;44.3;20076760.0;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/306643091/;Москва;sale;flat;21;25;1;37.6;21582400.0;Лефортово;Независимость кв-л;;Авиамоторная;Символ ЖК
Главстрой;developer;https://www.cian.ru/sale/flat/296871968/;Москва;sale;flat;7;30;1;37.6;12497564.0;Рязанский;Рязанский проспект;;Окская;balance
